global nn,fg_e,Dataset,AP,PRO,pixel_AUROC,image_AUROC,iteration
32,0.25,transistor,85.96,97.06,98.15,99.87,4500
32,0.25,zipper,88.40,98.74,99.60,100.00,4500
32,0.25,Average,82.12,97.339478,99.27,99.16,4500

48,0.05,bottle,93.08,98.07,99.47,100.00,4500
48,0.05,cable,86.11,96.74,99.40,99.96,4500
48,0.05,capsule,60.09,97.44,99.18,99.60,4500
48,0.05,hazelnut,81.86,98.09,99.38,100.00,4500
48,0.05,metal_nut,97.64,97.97,99.69,100.00,4500
48,0.05,pill,83.22,96.87,99.02,97.98,4500
48,0.05,screw,62.22,97.68,99.54,98.46,4500
48,0.05,toothbrush,79.71,96.71,99.61,98.33,4500
48,0.05,transistor,85.73,97.38,98.45,99.92,4500
48,0.05,zipper,88.30,98.82,99.61,100.00,4500
48,0.05,Average,81.79,97.575398,99.33,99.43,4500

48,0.1,bottle,93.06,98.07,99.47,100.00,4500
48,0.1,cable,86.21,96.64,99.38,99.96,4500
48,0.1,capsule,60.20,97.25,99.20,99.60,4500
48,0.1,hazelnut,81.90,98.10,99.39,100.00,4500
48,0.1,metal_nut,97.65,97.99,99.69,100.00,4500
48,0.1,pill,83.72,96.95,98.99,98.34,4500
48,0.1,screw,62.21,97.46,99.48,98.59,4500
48,0.1,toothbrush,80.59,96.77,99.62,98.89,4500
48,0.1,transistor,85.69,97.31,98.31,99.92,4500
48,0.1,zipper,88.36,98.83,99.61,100.00,4500
48,0.1,Average,81.96,97.536969,99.31,99.53,4500

48,0.15,bottle,93.03,98.07,99.46,100.00,4500
48,0.15,cable,86.27,96.57,99.37,99.96,4500
48,0.15,capsule,60.23,97.06,99.18,99.68,4500
48,0.15,hazelnut,81.93,98.11,99.39,100.00,4500
48,0.15,metal_nut,97.65,98.01,99.69,100.00,4500
48,0.15,pill,83.95,96.89,98.92,98.39,4500
48,0.15,screw,62.20,97.26,99.43,98.65,4500
48,0.15,toothbrush,81.00,96.82,99.62,99.17,4500
48,0.15,transistor,85.64,97.21,98.20,99.92,4500
48,0.15,zipper,88.40,98.83,99.61,100.00,4500
48,0.15,Average,82.03,97.484287,99.29,99.58,4500

48,0.2,bottle,93.00,98.07,99.46,100.00,4500
48,0.2,cable,86.31,96.50,99.36,99.96,4500
48,0.2,capsule,60.21,96.94,99.15,99.64,4500
48,0.2,hazelnut,81.95,98.12,99.39,100.00,4500
48,0.2,metal_nut,97.65,98.02,99.69,100.00,4500
48,0.2,pill,84.09,96.78,98.84,98.15,4500
48,0.2,screw,62.18,97.09,99.39,98.69,4500
48,0.2,toothbrush,81.21,96.86,99.63,99.72,4500
48,0.2,transistor,85.56,97.09,98.09,99.92,4500
48,0.2,zipper,88.44,98.83,99.61,100.00,4500
48,0.2,Average,82.06,97.430453,99.26,99.61,4500

48,0.25,bottle,92.96,98.06,99.45,100.00,4500
48,0.25,cable,86.34,96.44,99.35,99.96,4500
48,0.25,capsule,60.18,96.75,99.12,99.64,4500
48,0.25,hazelnut,81.97,98.12,99.40,100.00,4500
48,0.25,metal_nut,97.65,98.03,99.69,100.00,4500
48,0.25,pill,84.17,96.61,98.77,98.09,4500
48,0.25,screw,62.16,96.95,99.35,98.81,4500
48,0.25,toothbrush,81.30,96.90,99.63,100.00,4500
48,0.25,transistor,85.48,96.96,97.99,99.92,4500
48,0.25,zipper,88.46,98.83,99.61,100.00,4500
48,0.25,Average,82.07,97.366043,99.24,99.64,4500

64,0.05,bottle,93.10,98.08,99.46,100.00,4500
64,0.05,cable,86.00,96.68,99.39,99.94,4500
64,0.05,capsule,60.57,97.40,99.21,99.84,4500
64,0.05,hazelnut,81.51,98.00,99.37,100.00,4500
64,0.05,metal_nut,97.59,97.95,99.68,100.00,4500
64,0.05,pill,83.38,97.03,99.01,98.94,4500
64,0.05,screw,62.26,97.76,99.55,98.65,4500
64,0.05,toothbrush,79.82,96.74,99.61,98.33,4500
64,0.05,transistor,85.58,97.41,98.41,100.00,4500
64,0.05,zipper,88.33,98.73,99.61,100.00,4500
64,0.05,Average,81.81,97.577785,99.33,99.57,4500

64,0.1,bottle,93.08,98.08,99.46,100.00,4500
64,0.1,cable,86.10,96.62,99.37,99.94,4500
64,0.1,capsule,60.67,97.16,99.22,99.84,4500
64,0.1,hazelnut,81.54,98.02,99.38,100.00,4500
64,0.1,metal_nut,97.60,97.97,99.69,100.00,4500
64,0.1,pill,83.76,97.03,98.95,98.69,4500
64,0.1,screw,62.24,97.51,99.48,98.73,4500
64,0.1,toothbrush,80.69,96.80,99.62,98.89,4500
64,0.1,transistor,85.54,97.34,98.27,100.00,4500
64,0.1,zipper,88.39,98.73,99.61,100.00,4500
64,0.1,Average,81.96,97.526220,99.31,99.61,4500

64,0.15,bottle,93.05,98.08,99.46,100.00,4500
64,0.15,cable,86.17,96.56,99.35,99.93,4500
64,0.15,capsule,60.68,97.08,99.21,99.84,4500
64,0.15,hazelnut,81.56,98.03,99.38,100.00,4500
64,0.15,metal_nut,97.60,97.99,99.69,100.00,4500
64,0.15,pill,83.93,96.89,98.86,98.50,4500
64,0.15,screw,62.22,97.28,99.42,98.73,4500
64,0.15,toothbrush,81.10,96.85,99.63,99.17,4500
64,0.15,transistor,85.48,97.25,98.15,100.00,4500
64,0.15,zipper,88.43,98.74,99.61,100.00,4500
64,0.15,Average,82.02,97.472933,99.28,99.62,4500

64,0.2,bottle,93.02,98.08,99.45,100.00,4500
64,0.2,cable,86.22,96.51,99.34,99.93,4500
64,0.2,capsule,60.66,96.94,99.17,99.88,4500
64,0.2,hazelnut,81.58,98.03,99.38,100.00,4500
64,0.2,metal_nut,97.60,98.00,99.69,100.00,4500
64,0.2,pill,84.02,96.69,98.77,98.58,4500
64,0.2,screw,62.19,97.10,99.37,98.73,4500
64,0.2,toothbrush,81.28,96.89,99.63,99.72,4500
64,0.2,transistor,85.40,97.13,98.04,100.00,4500
64,0.2,zipper,88.47,98.74,99.62,100.00,4500
64,0.2,Average,82.04,97.410728,99.25,99.68,4500

64,0.25,bottle,92.99,98.07,99.45,100.00,4500
64,0.25,cable,86.25,96.46,99.34,99.94,4500
64,0.25,capsule,60.62,96.67,99.13,99.92,4500
64,0.25,hazelnut,81.60,98.03,99.38,100.00,4500
64,0.25,metal_nut,97.60,98.01,99.69,100.00,4500
64,0.25,pill,84.08,96.47,98.70,98.53,4500
64,0.25,screw,62.16,96.95,99.33,98.75,4500
64,0.25,toothbrush,81.38,96.92,99.63,100.00,4500
64,0.25,transistor,85.31,97.00,97.94,100.00,4500
64,0.25,zipper,88.49,98.74,99.62,100.00,4500
64,0.25,Average,82.05,97.333095,99.22,99.71,4500

